Date | Type | Amount | Calculated Balance
0785-03-28 | EXPENSE | -328785 | -328785
2025-05-30 | EXPENSE | -900 | -329685
2025-05-31 | EXPENSE | -2000 | -331685
2025-06-01 | EXPENSE | -2000 | -333685
2025-06-01 | EXPENSE | -1000 | -334685
2025-06-01 | EXPENSE | -3900 | -338585
2025-06-01 | EXPENSE | -7000 | -345585
2025-06-01 | EXPENSE | -9279 | -354864
2025-06-01 | EXPENSE | -1000 | -355864
2025-06-01 | EXPENSE | -15000 | -370864
2025-06-01 | EXPENSE | -1000 | -371864
2025-06-01 | EXPENSE | -3500 | -375364
2025-06-02 | EXPENSE | -1000 | -376364
2025-06-03 | EXPENSE | -1000 | -377364
2025-06-03 | EXPENSE | -1000 | -378364
2025-06-04 | EXPENSE | -700 | -379064
2025-06-04 | EXPENSE | -1200 | -380264
2025-06-05 | EXPENSE | -2450 | -382714
2025-06-08 | EXPENSE | -1000 | -383714
2025-06-09 | EXPENSE | -90600 | -474314
2025-06-09 | EXPENSE | -1000 | -475314
2025-06-09 | EXPENSE | -1300 | -476614
2025-06-09 | EXPENSE | -200 | -476814
2025-06-09 | EXPENSE | -1500 | -478314
2025-06-09 | EXPENSE | -500 | -478814
2025-06-09 | EXPENSE | -1680 | -480494
2025-06-10 | EXPENSE | 22000 | -458494
2025-06-10 | EXPENSE | -75000 | -533494
2025-06-10 | EXPENSE | 22000 | -511494
2025-06-11 | EXPENSE | -1500 | -512994
2025-06-13 | EXPENSE | -1000 | -513994
2025-06-13 | EXPENSE | -2000 | -515994
2025-06-14 | EXPENSE | -3000 | -518994
2025-06-14 | EXPENSE | -600 | -519594
2025-06-15 | EXPENSE | -450 | -520044
2025-06-15 | EXPENSE | -5000 | -525044
2025-06-16 | EXPENSE | -1000 | -526044
2025-06-16 | EXPENSE | -250 | -526294
2025-06-18 | EXPENSE | -500 | -526794
2025-06-18 | EXPENSE | -1500 | -528294
2025-06-18 | EXPENSE | -1000 | -529294
2025-06-18 | EXPENSE | -5300 | -534594
2025-06-18 | EXPENSE | 55980 | -478614
2025-06-18 | EXPENSE | 12000 | -466614
2025-06-19 | EXPENSE | -6550 | -473164
2025-06-19 | EXPENSE | -800 | -473964
2025-06-19 | EXPENSE | -1300 | -475264
2025-06-19 | EXPENSE | -1850 | -477114
2025-06-19 | EXPENSE | -7000 | -484114
2025-06-21 | EXPENSE | -5000 | -489114
2025-06-24 | EXPENSE | -1500 | -490614
2025-06-26 | EXPENSE | -2000 | -492614
2025-06-27 | EXPENSE | 55980 | -436634
2025-06-27 | EXPENSE | 7800 | -428834
2025-06-28 | EXPENSE | -3200 | -432034
2025-06-28 | EXPENSE | -6800 | -438834
2025-06-29 | EXPENSE | -2000 | -440834
2025-06-29 | EXPENSE | -2000 | -442834
2025-06-29 | EXPENSE | -2000 | -444834
2025-07-01 | EXPENSE | -1000 | -445834
2025-07-01 | EXPENSE | -5800 | -451634
2025-07-01 | EXPENSE | -500 | -452134
2025-07-01 | EXPENSE | -2000 | -454134
2025-07-02 | EXPENSE | -1500 | -455634
2025-07-02 | EXPENSE | -2300 | -457934
2025-07-02 | EXPENSE | -1500 | -459434
2025-07-02 | EXPENSE | -3900 | -463334
2025-07-02 | EXPENSE | -1499 | -464833
2025-07-03 | EXPENSE | -700 | -465533
2025-07-03 | EXPENSE | -2000 | -467533
2025-07-05 | EXPENSE | -800 | -468333
2025-07-05 | EXPENSE | -1100 | -469433
2025-07-07 | EXPENSE | -2800 | -472233
2025-07-07 | EXPENSE | 60000 | -412233
2025-07-07 | EXPENSE | 8500 | -403733
2025-07-07 | EXPENSE | 21400 | -382333
2025-07-07 | EXPENSE | 180000 | -202333
2025-07-08 | EXPENSE | -13500 | -215833
2025-07-08 | EXPENSE | -3000 | -218833
2025-07-08 | EXPENSE | -14500 | -233333
2025-07-10 | EXPENSE | -1500 | -234833
2025-07-11 | EXPENSE | -1000 | -235833
2025-07-11 | EXPENSE | -1000 | -236833
2025-07-11 | EXPENSE | -1000 | -237833
2025-07-12 | EXPENSE | -1350 | -239183
2025-07-12 | EXPENSE | -2540 | -241723
2025-07-12 | EXPENSE | -1500 | -243223
2025-07-12 | EXPENSE | -1180 | -244403
2025-07-13 | EXPENSE | -2000 | -246403
2025-07-13 | EXPENSE | -1100 | -247503
2025-07-14 | EXPENSE | -3800 | -251303
2025-07-14 | EXPENSE | -3560 | -254863
2025-07-15 | EXPENSE | -18750 | -273613
2025-07-20 | EXPENSE | -3500 | -277113
2025-07-20 | EXPENSE | -700 | -277813
2025-07-21 | EXPENSE | -25650 | -303463
2025-07-21 | EXPENSE | -46790 | -350253
2025-07-22 | EXPENSE | -2500 | -352753
2025-07-22 | EXPENSE | -2850 | -355603
2025-07-23 | EXPENSE | 15480 | -340123
2025-07-29 | EXPENSE | -130000 | -470123
2025-07-30 | EXPENSE | -3000 | -473123
2025-07-30 | EXPENSE | -50000 | -523123
2025-08-01 | EXPENSE | -2100 | -525223
2025-08-04 | EXPENSE | -18440 | -543663
2025-08-04 | EXPENSE | -13165 | -556828
2025-08-04 | EXPENSE | -1000 | -557828
2025-08-06 | EXPENSE | -2000 | -559828
2025-08-06 | EXPENSE | -2650 | -562478
2025-08-08 | EXPENSE | -1000 | -563478
2025-08-08 | EXPENSE | -6400 | -569878
2025-08-11 | EXPENSE | -78530 | -648408
2025-08-11 | EXPENSE | -800 | -649208
2025-08-13 | EXPENSE | -45009 | -694217
2025-08-14 | EXPENSE | -138300 | -832517
2025-08-15 | EXPENSE | -17100 | -849617
2025-08-16 | EXPENSE | -1500 | -851117
2025-08-18 | EXPENSE | -51400 | -902517
2025-08-18 | EXPENSE | -163620 | -1066137
2025-08-22 | EXPENSE | -2300 | -1068437
2025-08-23 | EXPENSE | -2160 | -1070597
2025-08-23 | EXPENSE | -550 | -1071147
2025-08-23 | EXPENSE | -3000 | -1074147
2025-08-24 | EXPENSE | -4000 | -1078147
2025-08-24 | EXPENSE | -2500 | -1080647
2025-08-24 | EXPENSE | -3000 | -1083647
2025-08-24 | EXPENSE | -7300 | -1090947
2025-08-24 | EXPENSE | -15000 | -1105947
2025-08-25 | EXPENSE | -11950 | -1117897
2025-08-25 | EXPENSE | -8500 | -1126397
2025-08-26 | EXPENSE | -41500 | -1167897
2025-08-26 | EXPENSE | -25350 | -1193247
2025-08-27 | EXPENSE | -800 | -1194047
2025-08-27 | EXPENSE | -39750 | -1233797
2025-08-28 | EXPENSE | -300 | -1234097
2025-08-30 | EXPENSE | -500 | -1234597
2025-08-30 | EXPENSE | -1200 | -1235797
2025-08-31 | EXPENSE | -1200 | -1236997
2025-09-02 | EXPENSE | -450900 | -1687897
2025-09-04 | EXPENSE | -1100 | -1688997
2025-09-04 | EXPENSE | -8900 | -1697897
2025-09-05 | EXPENSE | -1500 | -1699397
2025-09-08 | EXPENSE | -2500 | -1701897
2025-09-09 | EXPENSE | -22000 | -1723897
2025-09-10 | EXPENSE | -4500 | -1728397
2025-09-11 | EXPENSE | -3000 | -1731397
2025-09-11 | EXPENSE | -3600 | -1734997
2025-09-11 | EXPENSE | -6000 | -1740997
2025-09-12 | EXPENSE | -6000 | -1746997
2025-09-13 | EXPENSE | -27080 | -1774077
2025-09-14 | EXPENSE | -800 | -1774877
2025-09-17 | EXPENSE | -17800 | -1792677
2025-09-17 | EXPENSE | -11000 | -1803677
2025-09-17 | EXPENSE | -24190 | -1827867
2025-09-17 | EXPENSE | -28800 | -1856667
2025-09-18 | EXPENSE | 1150 | -1855517
2025-09-18 | EXPENSE | -5000 | -1860517
2025-09-19 | EXPENSE | -135200 | -1995717
2025-09-20 | EXPENSE | -1000 | -1996717
2025-09-27 | EXPENSE | -2785.75 | -1999502.75
2025-09-28 | DEBT_GIVEN | 192650 | -1806852.75
2025-09-30 | EXPENSE | -68750 | -1875602.75
2025-10-01 | EXPENSE | -10000 | -1885602.75
2025-10-02 | DEBT_GIVEN | 272050 | -1613552.75
2025-10-10 | EXPENSE | -47550 | -1661102.75
2025-10-10 | INCOME | 400000 | -1261102.75
2025-10-10 | INCOME | 55000 | -1206102.75
2025-10-10 | INCOME | 500000 | -706102.75
2025-10-10 | INCOME | 400000 | -306102.75
2025-10-10 | INCOME | 63000 | -243102.75
2025-10-10 | INCOME | 48000 | -195102.75
2025-10-10 | INCOME | 39000 | -156102.75
2025-10-10 | INCOME | 200000 | 43897.25
2025-10-10 | INCOME | 45000 | 88897.25
2025-10-10 | INCOME | 50000 | 138897.25
2025-10-10 | INCOME | 30000 | 168897.25
2025-10-10 | INCOME | 233850 | 402747.25
2025-10-10 | INCOME | 143000 | 545747.25
2025-10-10 | INCOME | 90000 | 635747.25
2025-10-10 | INCOME | 38000 | 673747.25
2025-10-10 | INCOME | 50000 | 723747.25
2025-10-10 | INCOME | 120000 | 843747.25
2025-10-10 | INCOME | 1322299 | 2166046.25
2025-10-10 | INCOME | 18000 | 2184046.25
2025-10-10 | INCOME | 45000 | 2229046.25
2025-10-10 | INCOME | 22000 | 2251046.25
2025-10-10 | INCOME | 50000 | 2301046.25
2025-10-11 | EXPENSE | -5000 | 2296046.25
2025-10-13 | EXPENSE | -1000 | 2295046.25
2025-10-13 | EXPENSE | -21000 | 2274046.25
2025-10-13 | EXPENSE | -1 | 2274045.25
2025-10-14 | DEBT_GIVEN | 384727 | 2658772.25
2025-10-14 | EXPENSE | -1200 | 2657572.25
2025-10-15 | EXPENSE | -263583 | 2393989.25
2025-10-15 | EXPENSE | -4000 | 2389989.25
2025-10-15 | EXPENSE | -3000 | 2386989.25
2025-10-18 | EXPENSE | -790 | 2386199.25
2025-10-19 | EXPENSE | -118699 | 2267500.25
2025-10-20 | EXPENSE | -1000 | 2266500.25
2025-10-21 | EXPENSE | -43700 | 2222800.25
2025-10-21 | EXPENSE | -1000 | 2221800.25
2025-10-21 | EXPENSE | -10000 | 2211800.25
2025-10-22 | DEBT_REPAID | 25000 | 2236800.25
2025-10-22 | EXPENSE | -25000 | 2211800.25
2025-10-22 | EXPENSE | -1800 | 2210000.25
2025-10-22 | EXPENSE | -1500 | 2208500.25
2025-10-23 | EXPENSE | -3500 | 2205000.25
2025-10-23 | EXPENSE | -2000 | 2203000.25
2025-10-25 | EXPENSE | -2500 | 2200500.25
2025-10-25 | EXPENSE | -550 | 2199950.25
2025-10-25 | EXPENSE | -5000 | 2194950.25
2025-10-25 | EXPENSE | -1200 | 2193750.25
2025-10-27 | EXPENSE | -3300 | 2190450.25
2025-10-27 | EXPENSE | -3600 | 2186850.25
2025-10-27 | EXPENSE | -10000 | 2176850.25
2025-10-27 | EXPENSE | -10000 | 2166850.25
2025-10-28 | EXPENSE | -6400 | 2160450.25
2025-10-28 | INCOME | 250000 | 2410450.25
2025-10-28 | INCOME | 100000 | 2510450.25
2025-10-28 | INCOME | 45000 | 2555450.25
2025-10-28 | INCOME | 105000 | 2660450.25
2025-10-29 | EXPENSE | -700 | 2659750.25
