=== HISTORICAL AUDIT: CBE & E-BIRR ===

--- Account: CBE (c8306c05-5279-4b05-b5fc-dda41c793a77) ---
Current DB Balance: 143,148.69 ETB
Date       | Type            | Amount    | Running Bal
-----------|-----------------|-----------|------------
2025-05-30 | EXPENSE         |    -72450 | 72,450
2025-06-01 | EXPENSE         |     -1500 | 73,950
2025-06-01 | EXPENSE         |    -37100 | 111,050
2025-06-01 | EXPENSE         |     -1200 | 112,250
2025-06-01 | EXPENSE         |    -13200 | 125,450
2025-06-02 | EXPENSE         |     -1100 | 126,550
2025-06-04 | EXPENSE         |     -3800 | 130,350
2025-06-08 | EXPENSE         |    -34350 | 164,700
2025-06-10 | EXPENSE         |     -3000 | 167,700
2025-06-10 | EXPENSE         |     -5800 | 173,500
2025-06-12 | EXPENSE         |     -7000 | 180,500
2025-06-12 | EXPENSE         |     -2800 | 183,300
2025-06-13 | EXPENSE         |      -600 | 183,900
2025-06-13 | EXPENSE         |    -10600 | 194,500
2025-06-13 | EXPENSE         |   -230300 | 424,800
2025-06-14 | EXPENSE         |    -33500 | 458,300
2025-06-15 | EXPENSE         |      -800 | 459,100
2025-06-15 | EXPENSE         |     -1000 | 460,100
2025-06-15 | EXPENSE         |     -2500 | 462,600
2025-06-16 | EXPENSE         |     -3300 | 465,900
2025-06-17 | EXPENSE         |     -2800 | 468,700
2025-06-18 | EXPENSE         |      -500 | 469,200
2025-06-18 | EXPENSE         |     -5000 | 474,200
2025-06-19 | EXPENSE         |     -3000 | 477,200
2025-06-19 | EXPENSE         |    -17000 | 494,200
2025-06-21 | EXPENSE         |    -25550 | 519,750
2025-06-21 | EXPENSE         |     -2000 | 521,750
2025-06-23 | EXPENSE         |      -800 | 522,550
2025-06-23 | EXPENSE         |     -2050 | 524,600
2025-06-23 | EXPENSE         |     -1500 | 526,100
2025-06-23 | EXPENSE         |      -700 | 526,800
2025-06-23 | EXPENSE         |     -3000 | 529,800
2025-06-26 | EXPENSE         |    -82250 | 612,050
2025-06-27 | EXPENSE         |     -5000 | 617,050
2025-06-27 | EXPENSE         |     -1000 | 618,050
2025-06-27 | EXPENSE         |     -3000 | 621,050
2025-06-28 | EXPENSE         |     -1500 | 622,550
2025-06-28 | EXPENSE         |     -1400 | 623,950
2025-06-29 | EXPENSE         |     -2900 | 626,850
2025-06-29 | EXPENSE         |     -3000 | 629,850
2025-06-30 | EXPENSE         |     -8000 | 637,850
2025-07-01 | EXPENSE         |    -12800 | 650,650
2025-07-02 | EXPENSE         |      -450 | 651,100
2025-07-02 | EXPENSE         |     -1000 | 652,100
2025-07-03 | EXPENSE         |     -2000 | 654,100
2025-07-03 | EXPENSE         |     -2000 | 656,100
2025-07-04 | EXPENSE         |    -12300 | 668,400
2025-07-04 | EXPENSE         |     -5200 | 673,600
2025-07-04 | EXPENSE         |     -1500 | 675,100
2025-07-04 | EXPENSE         |     -2000 | 677,100
2025-07-04 | EXPENSE         |     -1300 | 678,400
2025-07-04 | EXPENSE         |      -700 | 679,100
2025-07-05 | EXPENSE         |     -6500 | 685,600
2025-07-05 | EXPENSE         |     -3300 | 688,900
2025-07-05 | EXPENSE         |     -2800 | 691,700
2025-07-05 | EXPENSE         |     -1000 | 692,700
2025-07-05 | EXPENSE         |    -13500 | 706,200
2025-07-05 | EXPENSE         |     -2000 | 708,200
2025-07-06 | EXPENSE         |     -4600 | 712,800
2025-07-07 | EXPENSE         |     -4100 | 716,900
2025-07-07 | EXPENSE         |      -699 | 717,599
2025-07-07 | EXPENSE         |     -1000 | 718,599
2025-07-07 | EXPENSE         |    -28900 | 747,499
2025-07-07 | EXPENSE         |   -850000 | 1,597,499
2025-07-07 | EXPENSE         |    -29000 | 1,626,499
2025-07-07 | EXPENSE         |    -35000 | 1,661,499
2025-07-07 | EXPENSE         |    -89050 | 1,750,549
2025-07-07 | EXPENSE         |     -1000 | 1,751,549
2025-07-08 | EXPENSE         |     -1500 | 1,753,049
2025-07-08 | EXPENSE         |     -2000 | 1,755,049
2025-07-08 | EXPENSE         |     -1000 | 1,756,049
2025-07-08 | EXPENSE         |    -97000 | 1,853,049
2025-07-08 | EXPENSE         |     -5500 | 1,858,549
2025-07-08 | EXPENSE         |     -2000 | 1,860,549
2025-07-09 | EXPENSE         |   -300000 | 2,160,549
2025-07-09 | EXPENSE         |     -1000 | 2,161,549
2025-07-09 | EXPENSE         |     -4000 | 2,165,549
2025-07-09 | EXPENSE         |     -1000 | 2,166,549
2025-07-09 | EXPENSE         |      -620 | 2,167,169
2025-07-10 | EXPENSE         |     -2000 | 2,169,169
2025-07-10 | EXPENSE         |      -700 | 2,169,869
2025-07-10 | EXPENSE         |     -2998 | 2,172,867
2025-07-10 | EXPENSE         |      -500 | 2,173,367
2025-07-10 | EXPENSE         |     -1000 | 2,174,367
2025-07-10 | EXPENSE         |     -1000 | 2,175,367
2025-07-11 | EXPENSE         |      -500 | 2,175,867
2025-07-11 | EXPENSE         |     -2000 | 2,177,867
2025-07-11 | EXPENSE         |     -2000 | 2,179,867
2025-07-11 | EXPENSE         |     -2500 | 2,182,367
2025-07-12 | EXPENSE         |    -76000 | 2,258,367
2025-07-12 | EXPENSE         |     -1000 | 2,259,367
2025-07-12 | EXPENSE         |   -278450 | 2,537,817
2025-07-13 | EXPENSE         |     -7800 | 2,545,617
2025-07-15 | EXPENSE         |   -633413 | 3,179,030
2025-07-17 | EXPENSE         |    -28000 | 3,207,030
2025-07-18 | EXPENSE         |    -10000 | 3,217,030
2025-07-20 | EXPENSE         |    -34200 | 3,251,230
2025-07-21 | EXPENSE         |    -32000 | 3,283,230
2025-07-21 | EXPENSE         |    -12100 | 3,295,330
2025-07-25 | EXPENSE         |     -5000 | 3,300,330
2025-08-25 | EXPENSE         |     -9950 | 3,310,280
2025-08-31 | EXPENSE         |     -1000 | 3,311,280
2025-09-01 | EXPENSE         |     -6000 | 3,317,280
2025-09-04 | EXPENSE         |     -1500 | 3,318,780
2025-09-05 | EXPENSE         |   -269000 | 3,587,780
2025-09-05 | EXPENSE         |      -200 | 3,587,980
2025-09-05 | EXPENSE         |    -52350 | 3,640,330
2025-09-05 | EXPENSE         |    -10000 | 3,650,330
2025-09-05 | EXPENSE         |    -50000 | 3,700,330
2025-09-05 | EXPENSE         |     -4000 | 3,704,330
2025-09-05 | EXPENSE         |    -36000 | 3,740,330
2025-09-07 | EXPENSE         |    -20580 | 3,760,910
2025-09-08 | EXPENSE         |    -40000 | 3,800,910
2025-09-17 | EXPENSE         |    -40000 | 3,840,910
2025-10-10 | INCOME          |    944000 | 4,784,910
2025-10-10 | INCOME          |   3000000 | 7,784,910
2025-10-13 | EXPENSE         |    -10800 | 7,795,710
2025-10-26 | EXPENSE         |     -1499 | 7,797,209
2025-10-26 | EXPENSE         |     -1000 | 7,798,209
2025-10-26 | EXPENSE         |     -1300 | 7,799,509
2025-10-29 | EXPENSE         |    -20000 | 7,819,509
2025-11-01 | DEBT_GIVEN      |      7500 | 7,812,009
2025-11-04 | DEBT_GIVEN      |      8000 | 7,804,009
2025-11-06 | EXPENSE         |     -4500 | 7,808,509
2025-11-06 | EXPENSE         |    -12000 | 7,820,509
2025-11-06 | EXPENSE         |     -3000 | 7,823,509
2025-11-06 | EXPENSE         |      -290 | 7,823,799
2025-11-06 | DEBT_GIVEN      |      2000 | 7,821,799
2025-11-06 | EXPENSE         |      -300 | 7,822,099
2025-11-06 | EXPENSE         |     -4000 | 7,826,099
2025-11-06 | EXPENSE         |      -400 | 7,826,499
2025-11-06 | DEBT_GIVEN      |      3000 | 7,823,499
2025-11-06 | EXPENSE         |      -200 | 7,823,699
2025-11-07 | DEBT_GIVEN      |      1000 | 7,822,699
2025-11-07 | EXPENSE         |      -300 | 7,822,999
2025-11-08 | EXPENSE         |     -1000 | 7,823,999
2025-11-08 | EXPENSE         |     -7900 | 7,831,899
2025-11-08 | EXPENSE         |    -21000 | 7,852,899
2025-11-08 | EXPENSE         |      -500 | 7,853,399
2025-11-08 | EXPENSE         |     -1000 | 7,854,399
2025-11-08 | DEBT_GIVEN      |      6000 | 7,848,399
2025-11-09 | DEBT_GIVEN      |     70000 | 7,778,399
2025-11-09 | EXPENSE         |    -12460 | 7,790,859
2025-11-10 | EXPENSE         |     -3000 | 7,793,859
2025-11-11 | EXPENSE         |     12000 | 7,781,859
2025-11-11 | EXPENSE         |     -3000 | 7,784,859
2025-11-16 | EXPENSE         |    -20400 | 7,805,259
2025-11-17 | EXPENSE         |     33500 | 7,771,759
2025-11-17 | TRANSFER_IN     |     60000 | 7,711,759
2025-11-17 | TRANSFER_OUT    |    -60000 | 7,771,759
2025-11-18 | EXPENSE         |   -142500 | 7,914,259
2025-11-18 | EXPENSE         |     -1070 | 7,915,329
2025-11-18 | EXPENSE         |     -1000 | 7,916,329
2025-11-19 | EXPENSE         |     -1495 | 7,917,824
2025-11-19 | EXPENSE         |     -5000 | 7,922,824
2025-11-19 | EXPENSE         |     -3000 | 7,925,824
2025-11-19 | EXPENSE         |      -300 | 7,926,124
2025-11-19 | EXPENSE         |     -3000 | 7,929,124
2025-11-20 | EXPENSE         |     -1300 | 7,930,424
2025-11-20 | EXPENSE         |    -62550 | 7,992,974
2025-11-20 | EXPENSE         |      -650 | 7,993,624
2025-11-21 | INCOME          |    210000 | 8,203,624
2025-11-21 | INCOME          |    210000 | 8,413,624
2025-11-30 | TRANSFER_IN     |  16353.21 | 8,397,270.79
2025-11-30 | EXPENSE         |    -66990 | 8,464,260.79
2025-11-30 | EXPENSE         |     -5000 | 8,469,260.79
2025-11-30 | TRANSFER_OUT    | -16353.21 | 8,485,614
2025-11-30 | EXPENSE         |     -5000 | 8,490,614
2025-12-01 | EXPENSE         |     -7000 | 8,497,614
2025-12-01 | EXPENSE         |    -22000 | 8,519,614
2025-12-03 | TRANSFER_IN     |     44145 | 8,475,469
2025-12-03 | TRANSFER_OUT    |    -44145 | 8,519,614
2025-12-06 | EXPENSE         |      -800 | 8,520,414
2025-12-06 | EXPENSE         |    -17000 | 8,537,414
2025-12-06 | EXPENSE         |     -2200 | 8,539,614
2025-12-06 | DEBT_GIVEN      |      2750 | 8,536,864
2025-12-07 | EXPENSE         |      -700 | 8,537,564
2025-12-07 | EXPENSE         |      -700 | 8,538,264
2025-12-08 | EXPENSE         |     -2000 | 8,540,264
2025-12-08 | EXPENSE         |     -3100 | 8,543,364
2025-12-08 | EXPENSE         |     -3000 | 8,546,364
2025-12-09 | EXPENSE         |      -400 | 8,546,764
2025-12-09 | EXPENSE         |     -1820 | 8,548,584
2025-12-09 | EXPENSE         |    -25500 | 8,574,084
2025-12-09 | EXPENSE         |     -2000 | 8,576,084
2025-12-09 | EXPENSE         |      -300 | 8,576,384
2025-12-09 | EXPENSE         |     -2000 | 8,578,384
2025-12-09 | EXPENSE         |     -3730 | 8,582,114
2025-12-10 | INCOME          |    130000 | 8,712,114
2025-12-22 | EXPENSE         |     -3000 | 8,715,114
2025-12-25 | EXPENSE         |     -3000 | 8,718,114
2025-12-30 | DEBT_REPAID     |     30000 | 8,748,114
2025-12-30 | EXPENSE         |     -2500 | 8,750,614
2025-12-31 | EXPENSE         |    -15950 | 8,766,564
2025-12-31 | INCOME          |    280000 | 9,046,564
2026-01-01 | EXPENSE         |     -1700 | 9,048,264
2026-01-02 | EXPENSE         |      -300 | 9,048,564
2026-01-03 | EXPENSE         |    -10000 | 9,058,564
2026-01-06 | INCOME          |     60000 | 9,118,564
2026-01-25 | INCOME          |     80000 | 9,198,564
2026-02-01 | TRANSFER_OUT    |    -20000 | 9,218,564
2026-02-01 | TRANSFER_OUT    |    -10000 | 9,228,564
2026-02-01 | TRANSFER_IN     |      5300 | 9,223,264
2026-02-01 | EXPENSE         |       -84 | 9,223,348
2026-02-01 | TRANSFER_OUT    |     -5300 | 9,228,648
2026-02-01 | EXPENSE         |     -85.1 | 9,228,733.1
2026-02-01 | TRANSFER_IN     |     10000 | 9,218,733.1
2026-02-01 | TRANSFER_IN     |      5000 | 9,213,733.1
2026-02-01 | TRANSFER_IN     |     20000 | 9,193,733.1
2026-02-01 | EXPENSE         |    -20000 | 9,213,733.1
2026-02-01 | EXPENSE         |      -300 | 9,214,033.1
2026-02-01 | EXPENSE         |     -2700 | 9,216,733.1
2026-02-01 | TRANSFER_OUT    |     -5000 | 9,221,733.1
2026-02-02 | EXPENSE         |     -6000 | 9,227,733.1
2026-02-02 | EXPENSE         |    -12000 | 9,239,733.1
2026-02-02 | EXPENSE         |     -6500 | 9,246,233.1
2026-02-02 | EXPENSE         |     -7000 | 9,253,233.1
2026-02-02 | EXPENSE         |     -5600 | 9,258,833.1
2026-02-02 | DEBT_REPAID     |     60000 | 9,318,833.1
2026-02-02 | DEBT_GIVEN      |     60000 | 9,258,833.1
2026-02-02 | EXPENSE         |     -6000 | 9,264,833.1
2026-02-02 | EXPENSE         |     -9000 | 9,273,833.1
2026-02-03 | EXPENSE         |    -10000 | 9,283,833.1
2026-02-03 | EXPENSE         |     -2000 | 9,285,833.1
2026-02-03 | EXPENSE         |     -1350 | 9,287,183.1
2026-02-03 | EXPENSE         |     -2000 | 9,289,183.1
2026-02-03 | EXPENSE         |    -18000 | 9,307,183.1
2026-02-03 | EXPENSE         |    -38870 | 9,346,053.1
2026-02-06 | EXPENSE         |     -6000 | 9,352,053.1
2026-02-07 | EXPENSE         |    -10000 | 9,362,053.1
2026-02-07 | DEBT_GIVEN      |     10000 | 9,352,053.1
2026-02-12 | EXPENSE         |     -2000 | 9,354,053.1
2026-02-12 | EXPENSE         |     -2000 | 9,356,053.1
2026-02-16 | DEBT_REPAID     |      7000 | 9,363,053.1
2026-02-17 | EXPENSE         |     -5000 | 9,368,053.1
2026-02-17 | EXPENSE         |      -700 | 9,368,753.1
2026-02-17 | EXPENSE         |      -300 | 9,369,053.1
2026-02-17 | DEBT_RECEIVED   |     48000 | 9,417,053.1
2026-02-17 | EXPENSE         |      -500 | 9,417,553.1
2026-02-18 | DEBT_GIVEN      |    100000 | 9,317,553.1
2026-02-18 | EXPENSE         |   -800000 | 10,117,553.1
2026-02-18 | INCOME          |   1000000 | 11,117,553.1
2026-02-18 | DEBT_GIVEN      |     90000 | 11,027,553.1
2026-02-21 | DEBT_REPAID     |     30000 | 11,057,553.1
2026-02-22 | EXPENSE         |    -20000 | 11,077,553.1
2026-02-24 | EXPENSE         |      5000 | 11,072,553.1
2026-02-25 | DEBT_RECEIVED   |     20000 | 11,092,553.1

Final Calculated Running Balance: 11,092,553.1 ETB
Difference (DB - Calculated): -10,949,404.41 ETB

--- Account: E-Birr (3c156507-ea0a-4974-8a54-92f1e9dd519a) ---
Current DB Balance: -106,870.54 ETB
Date       | Type            | Amount    | Running Bal
-----------|-----------------|-----------|------------
0785-03-28 | EXPENSE         |   -328785 | 328,785
2025-05-30 | EXPENSE         |      -900 | 329,685
2025-05-31 | EXPENSE         |     -2000 | 331,685
2025-06-01 | EXPENSE         |     -2000 | 333,685
2025-06-01 | EXPENSE         |     -1000 | 334,685
2025-06-01 | EXPENSE         |     -3900 | 338,585
2025-06-01 | EXPENSE         |     -7000 | 345,585
2025-06-01 | EXPENSE         |     -9279 | 354,864
2025-06-01 | EXPENSE         |     -1000 | 355,864
2025-06-01 | EXPENSE         |    -15000 | 370,864
2025-06-01 | EXPENSE         |     -1000 | 371,864
2025-06-01 | EXPENSE         |     -3500 | 375,364
2025-06-02 | EXPENSE         |     -1000 | 376,364
2025-06-03 | EXPENSE         |     -1000 | 377,364
2025-06-03 | EXPENSE         |     -1000 | 378,364
2025-06-04 | EXPENSE         |      -700 | 379,064
2025-06-04 | EXPENSE         |     -1200 | 380,264
2025-06-05 | EXPENSE         |     -2450 | 382,714
2025-06-08 | EXPENSE         |     -1000 | 383,714
2025-06-09 | EXPENSE         |    -90600 | 474,314
2025-06-09 | EXPENSE         |     -1000 | 475,314
2025-06-09 | EXPENSE         |     -1300 | 476,614
2025-06-09 | EXPENSE         |      -200 | 476,814
2025-06-09 | EXPENSE         |     -1500 | 478,314
2025-06-09 | EXPENSE         |      -500 | 478,814
2025-06-09 | EXPENSE         |     -1680 | 480,494
2025-06-10 | EXPENSE         |     22000 | 458,494
2025-06-10 | EXPENSE         |    -75000 | 533,494
2025-06-10 | EXPENSE         |     22000 | 511,494
