Transaction Counts by Type and accountId status:
Type: INCOME, accountId: STATED, Count: 1
Type: INCOME, accountId: STATED, Count: 42
Type: EXPENSE, accountId: STATED, Count: 1
Type: TRANSFER_OUT, accountId: STATED, Count: 7
Type: DEBT_GIVEN, accountId: STATED, Count: 50
Type: INCOME, accountId: STATED, Count: 9
Type: INCOME, accountId: STATED, Count: 2
Type: EXPENSE, accountId: STATED, Count: 2
Type: INCOME, accountId: STATED, Count: 2
Type: EXPENSE, accountId: STATED, Count: 588
Type: EXPENSE, accountId: STATED, Count: 3
Type: DEBT_TAKEN, accountId: NULL, Count: 1
Type: EXPENSE, accountId: NULL, Count: 2
Type: EXPENSE, accountId: STATED, Count: 22
Type: TRANSFER_IN, accountId: STATED, Count: 7
Type: DEBT_REPAID, accountId: STATED, Count: 4
Type: EXPENSE, accountId: STATED, Count: 2
Type: DEBT_GIVEN, accountId: STATED, Count: 12
Type: INCOME, accountId: STATED, Count: 1
Type: EXPENSE, accountId: STATED, Count: 206
Type: DEBT_GIVEN, accountId: STATED, Count: 2
Type: EXPENSE, accountId: STATED, Count: 9
Type: EXPENSE, accountId: STATED, Count: 4
Type: INCOME, accountId: STATED, Count: 2
Type: INCOME, accountId: STATED, Count: 1
Type: EXPENSE, accountId: STATED, Count: 2
Type: OTHER, accountId: STATED, Count: 1
Type: INCOME, accountId: STATED, Count: 2
Type: DEBT_RECEIVED, accountId: STATED, Count: 2
Type: INCOME, accountId: STATED, Count: 1
Type: INCOME, accountId: STATED, Count: 2
Type: DEBT_REPAID, accountId: STATED, Count: 1
Type: DEBT_REPAID, accountId: STATED, Count: 20
